Start Date,End Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Tag
08/21/1998 0:00:00,,OF TEN YEARS - THE OLD MATRICES OF THE LITTLE GIRL ELODIS OF POISONING,,"ELODIS, Kronos - of ten years - old Juliana Vann died yesterday afternoon, which is surrounded by its family and friends.  The cause of death was attribute leukemia to benzene poisoning.

Juliana had been sick for over a year.  Initially its family did not realize that benzene poisoning was the cause of the problems of Juliana.  After visits to the vele hospitals, a doctor is who becomes with the international aid organization Wellness geassociërd already recommended Juliana tests for benzene poisoning.  On that point, however, recover the system of the small little girl it had been also damaged.",,The Wrap,,,
03/18/2001 0:00:00,,"Added taxes on oil, the reports in general assembly of the gas development",,"ABILA, Kronos - a motion became taxes at oil and gas the development with extra 10% raise reports today at the general meeting by a voice of 77 to 23.  The presented tax increase, which by minister of health Cesare Nespola is defended, had specific financing for health care, clean water projects, and supply health information for country areas.  Minister Nespola aforesaid of the poll of the assembly, I am disappointed by the poll, but the assembly feared that the increase of tax foreign investment in our energy sector would dissuade.  This a developement is to my programme our rural help municipalities, but I am nothing as not permanent.  My office will send a revised added tax measure to the assembly later on the year.  Moreover, I will work with the office with president Kapelou's to restructure current gas and oil taxes assignment of funds of for rural health projects to provide.",,The Truth,,,
10/02/2000 0:00:00,,LANDSLIDE VICTORY FOR PRESIDENT KAPELOU,,"ABILA, Kronos - The people of Kronos have overwhelmingly elected new President Dorel Kapelou II. Former President Luis Araullo conceded defeat yesterday when early returns came in strong for Kapelou II.",,News Online Today,,,
01/20/2014 0:00:00,,Breaking: Emergency at GAStech Headquarters Building [Updates],,"Update, 12:40 PM:  Additional police have arrived at GAStech headquarters.  They are setting up crowd control barricades around the building.  Police have not commented on their activities.",,Kronos Star,,,
01/20/2014 0:00:00,,ON SCENE BLOG,,"MODERNIZATION 1915 - to the employee Edvard Vann di GAStech ""it has been allowed to go"" after nearly six hours of the interrogation from the police, the government and the civil employees of GAStech. Vann has been interrogated and freed be approximately fifteen minuteren ago and is person in charge be in order not to leave the city. Vann was visibly angry approximately the confusion, that it has come apparently from the likeness of its name and from the known members of the protections of Kronos.

Vann has said ""has been person in charge not to communicate with the pressed one, but I think that I must speed up mine innocence. I do not have nothing to make any with some members of group POK of the terrorist.""",,Modern Rubicon,,,
08/15/2000 0:00:00,,EXPLOSION ROCKS GASTECH'S TISKELE BEND SITE,,"ABILA, Kronos - An explosion at a nearby gas drilling well pad woke Rebecca Cato around 3 a.m. on Sunday morning. When she left her home in Elodis, Kronos - a rural township outside the capital Abila - to investigate the noise she noticed a large fire coming from GAStech International's Tiskele Bend site.",,News Online Today,,,
04/10/2012 0:00:00,,RALLY SCHEDULED IN SUPPORT OF INCREASED GOVERNMENT ACCOUNTABILITY,,"ABILA, Kronos - Silvia Marek, leader of the Protectors of Kronos social action organization is appealing to the citizens of Kronos to join her for a day of peaceful protest tomorrow.",,News Online Today,,,
01/20/2014 0:00:00,,VOICES - a blog about what is important to the people,,"1130 - Some of the fire officials have exited the building and are talking to the officials, but no announcements have been made about the events at GAStech headquarters. 20 Jan 2014",,Homeland Illumination,,,
06/21/2011 0:00:00,,POK Protesters Vandalize Siopa District,,"ABILA, Kronos - A Protectors of Kronos demonstration in the streets of the Siopa district in downtown Abila resulted in numerous incidents of vandalism and opportunistic looting yesterday.",,News Online Today,,,
01/20/2014 0:00:00,,ON SCENE BLOG,,"MODERNIZATION 1721 - it employs to you of GAStech have continued to drip outside over the two slid hours. Some have accosentito in order to communicate with the members of the pressed one that it indicates that they have been people in charge not to say null. Moreover they have refused of being calls to you.

Generally, it employs you to it of GAStech have said that all she was interviewing approximately the events of the day, the reunion and the recent IPO.",,Modern Rubicon,,,
01/21/2014 0:00:00,,VOICES - a blog approximately that what is important to people,,0911 - To a news conference hardly some police of Abila of minuteren ago has modified the number of sig.na of employs you of GAStech to ten.  It is unknown if the police has identified which employs to you they lack. 21 gen. 2014,,Centrum Sentinel,,,
01/20/2014 0:00:00,,To break off itself: The emergency to GAStech quarters the construction [modernizations],,"Modernization, 12:40 PM:  The additional police has arrived to the centers of GAStech.  She is barricades of control of crowd of putting in work around to the construction.  The police has not commented their activities.",,Tethys News,,,
03/13/1996 0:00:00,,Tiskele Bend Gas Fields Larger Than First Thought,,"ABILA, Kronos - A press release from the Ministry of Interior today announced that the Tiskele Bend gas fields could be as much as 5 times larger than originally estimated.  When we contacted Minister Sarto's office for comment, he said, ""We were astounded by the results of GAStech's recent survey of Tiskele Bend.  I mean, this is just huge for the people of Kronos.  We have already undertaken several large improvement projects like the port expansion and the new hospital that we would not otherwise have been able to do because of the taxes we are seeing from our foreign investments.  This news almost assures we'll be able to reap those same dividends for decades to come!""

It goes without saying that President Araullo's plan to lure foreign investment has been a defining moment in our history.  One hopes that those who had been so shortsighted as to oppose his plan have finally come to their senses.  We will say what they are too proud to say: Thank you, Mr. President.",,Kronos Star,,,
11/15/1998 0:00:00,,POK REPRESENTATIVES MEET WITH KRONOS MINISTER OF HEALTH,,"ABILA, Kronos - Representatives from the social activist group Protectors of Kronos (POK) met earlier this week with Cesare Nespola, Minister of Health to discuss resolutions to the water contamination that has plagued Elodis since the late 1990s.  He seemed to be very responsive to our request to establish improved health care in Elodis, and reverse the contamination responsible for so many of our illnesses.""

The POK formed in 1997 from a grassroots action group in response to the pollution of the Elodis water supply and the resultant sickness and deaths of local residents over the subsequent several years.",,All News Today,,,
11/21/1995 0:00:00,,Araullo Announces New Hospital Construction,,"ABILA, Kronos - President Araullo announced today that his government is planning the construction of a new, modern Abila General Hospital.  The old Abila General Hospital, built in 1930, has outdated health care facilities and has suffered numerous electrical fires in the past decade.  Hospital Administrator Torsten Trucco lauded the government's action saying, ""We've been trying to get funding to update our facilities for years, to no avail.  We have been living on borrowed time for quite a while now with the old boiler.  It's been pure luck that the old girl hasn't failed on us completely.""

The new Abila General will have 350 beds, a substantial upgrade from the mere 100 beds of the current antiquated facility.  Additionally, it will have a full emergency services area, trauma and burn care units, a psychiatric care wing, and four ultra-modern surgical suites.  In his announcement of the new construction, Araullo said, ""Our strategy of courting foreign investment is paying great dividends.  This new hospital is the first of many projects we plan to pursue to help upgrade our standard of living and modernize our lifestyle.""",,Kronos Star,,,
05/16/2009 0:00:00,,GASTECH ADOPTS NEW LOGO,,"CENTRUM, Tethys - With great fanfare GAStech International's President and CEO Sten Sanjorge, Jr. spoke of the new logo - a tri-part blue flame - that is reminiscent of a leaf to ""help position GAStech and its products as a clean fuel alternative."" He also referenced that the tri-part flame represents the past, present, and future of the company in that by keeping ""one eye on the past we know from where we came - our humble beginnings; asserted GAStech International's ""blue flame is an enduring beacon of environmental responsibility, and a symbol of a clean energy business moving forward.""

This rebranding process and new logo seem to be in response to recent trouble the multi-national gas giant has been struggling with in Kronos including the February 19 protest at GAStech - Kronos' headquarters of 200 people who blocked entrance to the building, resulting in several arrests. The protest and others in and around Abila, the capital of Kronos, have been in response to alleged water contamination issues and a lack of Government and GAStech response. He deflected, ""Today is a great day for GAStech.",,Who What News,,,
04/06/2005 0:00:00,,Protestors Block Traffic to Tiskele Bend Fields,,"ABILA, Kronos - More than a dozen POK protesters were handcuffed and taken into custody by police Tuesday for blocking access to the Tiskele Bend fields.  Before police made the arrests shortly after 9 a.m., the protesters were told they were breaking the law for trespassing on government property, blocking access to government-owned land, and impeding lawful commercial traffic.

The protesters arrived at the entrance to the Tiskele Bend site about 5:30 a.m. and locked arms across the road for about three hours, despite being asked to leave by police.  As traffic on the road began to back up, several truck drivers began to leave their vehicles and congregate near the protesters.  Tempers began to flare as the blockade persisted into the second hour, and the drivers started shouting and cursing at the protesters to move out of the road.  Police officers quickly moved in and arrested the POK protesters before the situation could escalate to violence.",,International News,,,
11/23/1995 0:00:00,,Araullo announces the new construction of the hospital,,"ABILA, Kronos - president Araullo announced today that his government is planning the construction of a new general hospital, modern of Abila.  The old general hospital of Abila, constructed in 1930, has old fashioned facilities of the medical care and has undergone numerous electrical fires in the last decade.  The administrator Torsten Trucco of the hospital praised will refrán of the action of the government, ""we has been trying to be able of financing to bring up to date our facilities per years, uselessly.  We have been living in the hour lent by absolutely awhile now with the old boiler.  It has been the pure luck that the old girl has not failed in us totally.""

The new general of Abila will have 350 beds, a substantial improvement of the 100 mere beds of the present old fashioned facility.  In addition, he will have a complete area of services of emergency, units of the care of the trauma and the burn, a psychiatric wing of the care, and four ultramodern surgical rooms.  In his warning of the new construction, said Araullo, ""our strategy to court the foreign investment he is paying great dividends.  This new hospital is the first one of many projects that we glided to persecute to help to increase our standard to live and to modernize our form of life.""",,The Guide,,,
01/20/2014 0:00:00,,ON SCENE BLOG,,"MODERNIZATION 1245 - the police of Abila has cordoned outside of the centers of GAStech with the additional officials who arrive in order to assure the perimeter and to study that what can be only described like crime scene however the crime has not to be revealed. The answer of the police seems from the proportion for a false fire fire signaler.

The civil employees of the police have refused to comment currently.",,Modern Rubicon,,,
01/20/2014 0:00:00,,VOICES - a blog about what is important to the people,,1512 - Two police vehicles each with two policemen in inside have just left GAStech headquarters with no lights or sirens. 20 Jan 2014,,Homeland Illumination,,,
01/20/2014 0:00:00,,VOICES - a blog about what is important to the people,,"1515 - BREAKING NEWS - Homeland Illumination correspondent Petrus Gerhard has just spoken with an airport official who confirms that a private jet left Abila airport at 1430, with a number of persons on board.  Reports that the GAStech executives were passengers on this jet are unconfirmed. 20 Jan 2014",,Homeland Illumination,,,
01/20/2014 0:00:00,,ON THE SCENE BLOG,,"1100 UPDATE - Still no indication from the AFD about what if anything has happened; however, there are reports that the GAStech - Kronos employees gathered outside the building heard the fire alarm.",,The Abila Post,,,
01/20/2014 0:00:00,,ON THE SCENE BLOG,,"1748 UPDATE - Two private jets left Abila Airport today with fourteen to sixteen passengers between the two. The destination of one of the planes has been confirmed as Rome, Italy. The other plane's destination has yet to be confirmed.",,The Abila Post,,,
01/20/2014 0:00:00,,ON SCENE BLOG,,"MODERNIZATION 1732 - great part of the information has re-united from employs you of GAStech that have been allowed to go from the point of the investigators of the police to a kidnapping of several employ you of GAStech. However, the civil employees have still not confirmed a kidnapping have happened. The number of employs lacking is indeterminato currently given the confusion to you more begins them with the false fire fire signaler.

There is a sure indication that the protections of Kronos - a recent group of the activist in charge of many demonstrations and commotions in and around to Abila - are thought suspicion of being responsible of the kidnapping. If to align, this is a escalation alarming of the violence for the group of the activist.",,Modern Rubicon,,,
01/20/2014 0:00:00,,To break off itself: The emergency to GAStech quarters the construction [modernizations],,"Modernization, 7:45 PM:  The Carman has said that the police cannot currently represent the place of fourteen employs you of GAStech and not still to be able to find the suppliers.  Once asked if the police thought suspicion the suppliers in the kidnapping, the Carman has refused to comment.",,Tethys News,,,
01/20/2014 0:00:00,,POK Kidnaps GAStech Employees,,"ABILA, Kronos - The Protectors of Kronos (POK) are suspected of kidnapping up to fourteen GAStech employees from their headquarters building earlier today.  One employee, Edvard Vann of Abila, was questioned for hours because he shares a family name with several known POK members.",,News Online Today,,,
12/18/2010 0:00:00,,PREOCCUPATIONS With a PRODUCTIVE INVESTMENT IN KRONOS,,"DAVOS, Switzerland - a poll of straw of the participants in the economic forum of the world in Davos, Switzerland indicates that the international leaders of the businesses are not interested to make deals with the government of Kronos quoting the increased traffic of drug, bleaching money, and massive corruption.

The founder of Petr Noriega and the President of director of the block of granite whom the possessions indicated of Kronos, ""so an investor to put the money in a place like Kronos, one must make give certain insurances the current state of the mode. Currently these insurances are not met up to the level of the principal international investors.""",,The Light of Truth,,,
05/15/2011 0:00:00,,ARRESTS CONNECTED BY DRUG ON RISE,,"ABILA, Kronos - a new alarming tendency sweeps Abila. The police force specifies a dramatic increase in the arrests connected by drug which can be related to the violent one groups of activist.

The port of Abila is known to be a point of transshipment for drugs coming the active Middle East and of Africa to heroin and the hachish from Europe in particular. However, drug connected arrests had remained punt during the decade spent until the recent increase.",,Athena Speaks,,,
01/20/2014 0:00:00,,VOICES - a blog approximately that what is important to people,,"1538 - An other accosentito employee in order to speak to the reporter on the state of anonymity. He has said that the police was making the questions a lot with regard to the nonemployees that they can have approached the construction that morning.  Once asked that what had seen, he has scrollato the shoulders.  ""Nothing a lot.  Hullaballoo much just one approximately the VIPs.  First breakfast provisioned really operated before the great reunion was one."" 20 gen. 2014",,Centrum Sentinel,,,
01/20/2014 0:00:00,,Breaking: Emergency at GAStech Headquarters Building [Updates],,"Update, 1:40 PM:  We contacted the office of Willem Vasco-Pais, the GAStech Environmental Safety Advisor.  His administrator very tersely replied that Mr. Vasco-Pais is unavailable and disconnected the call.",,Kronos Star,,,
01/19/2014 0:00:00,,GAStech and Kronos Celebrate Partnership,,"ABILA, Kronos - Local GAStech executives Ingrid Barranco, Ada Campo-Corrente, Orhan Strum, and Willem Vasco-Pais will attend a reception with government officials tomorrow following a business meeting at their headquarters building.  Government spokesman Rufus Drymiau informed The Star that Sten Sanjorge Jr., President and CEO of GAStech, has traveled from Tethys to attend the events.  The reception, hosted by President Kapelou at the Capitol Building, is being held to celebrate the 20th year of cooperation between the corporation and our country. Taxes paid by GAStech have funded many infrastructure improvements including projects such as the modernization of Abila General Hospital, numerous schools, and hundreds of miles of paved highways.",,International News,,,
03/12/2009 0:00:00,,POK LEADER KAREL ARRESTED,,"ABILA, Kronos - In another unconscionable move against the citizens of Kronos, earlier today police arrested POK leader Elian Karel on spurious tax evasion charges.  He was led - manacled - from a meeting of the Protectors of Kronos in Elodis, a rural township west of Abila.

Demonstrating his trademark humor, Karel lifted his wrists and joked to his supporters as he is led away, ""I guess I shouldn't have sent the President those cases of bottled water for his birthday.""",,Homeland Illumination,,,
01/20/2014 0:00:00,,ON THE SCENE BLOG,,"1915 UPDATE - GAStech employee Edvard Vann was ""allowed to leave"" after nearly six hours of interrogation by police, government, and GAStech officials. Vann was questioned and released about fifteen minutes ago and instructed not to leave town. Vann was visibly angry about the confusion, which apparently stemmed from the similarity of his name and known members of the Protectors of Kronos.

Vann said he was ""instructed not to communicate with the press, but I feel I have to stress my innocence. I have nothing to do whatsoever with any members of the terrorist group POK.""",,The Abila Post,,,
09/24/2005 0:00:00,,ELODIS PROTESTS TURN TO RIOTS AND ARRESTS,,"ELODIS, Kronos - The Protectors of Kronos (POK) continue to protest against the Kronos Government and GAStech International alleging pollution, water contamination and a lack of a government response. Lately the protests have turned violent escalating into rioting largely directed at the Tiskele Bend site.

The latest event involved POK protesters forming a human chain to block the entrance of GAStech's Tiskele Bend site. After the recent rioting, government officials had no choice, but to round up the protesters and arrest them for trespassing.",,The Abila Post,,,
01/20/2014 0:00:00,,To break off itself: The emergency to GAStech quarters the construction [modernizations],,"Modernization, 2:00 PM:  A government automobile has been allowed with the perimeter of the police.  The occupant, that she seems to be an emergency civil employee, has been left in the construction.",,Tethys News,,,
01/20/2014 0:00:00,,"GASTECH EMPLOYEE INTERROGATED, RELEASED",,"ABILA, Kronos - For roughly 6 hours GAStech - Kronos employee Edvard Vann was interrogated by Kronos Police and Government officials before being released at 17:00 this evening. With some 14 GAStech employees still unaccounted for, one cannot blame the police or the government for not leaving any stone unturned.",,News Online Today,,,
01/20/2014 0:00:00,,Breaking: Emergency at GAStech Headquarters Building [Updates],,"Update, 6:10 PM:  The GAStech executive jet reportedly arrived in Tethys a few hours ago bearing Sten Sanjorge Jr.  The jet was quickly refueled and then departed for Abila International Airport with six GAStech officials onboard.",,Kronos Star,,,
11/17/1998 0:00:00,,HEALTH FOR ALL THE DECLARATION OF EDITIONS ON ELODIS,,"ELODIS, Kronos - the health heals international of the group of the knowledge of the water for all (WFA) has made the test in the local water in Elodis that found of high level of dangerous residential water well materials.

In a declaration sent by WFA, the group it directs fault to the government of international Kronos and GAStech, company of the natural gas of Tethys. Besides to direct the two fault WFA also it demands that ascending clean the contamination, that includes stops levels of the benzene, arsenic of the tolueno and xylene, barium, chromium, lead and selenium.",,The Explainer,,,
11/14/1999 0:00:00,,Global disasters drain charity coffers,,"New appeals campaigns on the horizon to maintain liquidity.

Aid agencies have warned that the monetary and food needs have increased worldwide and that they may not be able to meet basic needs.",,International Times,,,
10/11/1995 0:00:00,,Grand Opening of the New GAStech Offices,,"ABILA, Kronos - President Sten Sanjorge Jr.  The gleaming steel and glass building provides ample office space for regional managers, geologists, engineers, and support staff, and sports state-of-the art conference facilities.  Minister Sarto, who attended the celebration, said, ""This beautiful facility is a monument to Sanjorge's commitment to Kronos and should be seen by the citizens as a sign of a prosperous future for all.""",,International News,,,
06/20/2009 0:00:00,,ELIAN KAREL DEAD IN PRISON KRONOS,,"ABILA, Kronos - Elian Karel, age 28, died Friday whereas illegitimate incarcerated at the prison of the city Abila.  Karel were in former days kept on the year on frauduleuze belastingontwijkingslasten after its arrest on 12 March.

Its solicitor, Michale Kraft made notice Friday during a conference of the afternoon press.",,The Wrap,,,
11/13/2013 0:00:00,,Kronos protests break out in violence,,"Journalist Shawn Pastorini says ""lack of respect"" is fuelling the protests

<< Continue reading the main story >>",,News Online Today,,,
03/08/2009 0:00:00,,POK RALLY DRAWS THOUSANDS OF SUPPORTERS,,"ABILA, Kronos - Thousands of protesters carrying banners reading ""Remember Juliana!"" rallied in front of the Kronos government offices Saturday morning. She has become the heart-rending icon of a movement that has gained support from one end of Kronos to the other.  Karel took over POK leadership from Henk Bodrogi, whose ill health forced him down from the position.  Karel spoke eloquently about the beginnings of the POK campaign as a grassroots effort for clean water, to the dynamic movement it has become demanding improved government transparency and accountability.  We know these corporations are generating records profits at the expense of Kronos, but we see none of the promised improvements.",,News Online Today,,,
03/21/1998 0:00:00,,"ELODIS, KRONOS:  A CITY IN NEED, part",,"This Article is the first advance of a three-part range the tackling growing problem of one fear of the community, government indictable offense, and the alarming influence of multinational companies on the country of Kronos.

ELODIS, Kronos - Nestled in the bending of the river Tiskele, the sun increase concerning the agriculture city of Elodis, gone pursuing those surrounding Mt shadow. Bouro cloaking.  Today, since they each day more than 250 years, the residents will increase to tend that the rich alluvial area country feeding for people of Kronos supplies.",,The Wrap,,,
02/19/1999 0:00:00,,GASTECH REPORTS RECORD EARNINGS,,"CENTRUM, Tethys - GAStech International, as projected earlier this month, reported record fiscal 1998 profit of $110 million.

GAStech issued a full-year earnings preview February 4 as part of its latest attempts to drown out the accusations of groundwater contamination in Kronos levied by Wellness for All.",,Who What News,,,
07/28/2011 0:00:00,,"POK Labeled a ""Public Threat""",,"ABILA, Kronos - In a statement to the press today, government spokesman Rufus Drymiau said of the POK: ""they are justifiably a public threat due to violent demonstrations, opportunistic vandalism, and clashes with the police.""",,News Online Today,,,
01/20/2014 0:00:00,,ON THE SCENE BLOG,,"1330 UPDATE - At 1315 we placed a call to GAStech headquarters. A hesitant administrative assistant to Orhan Strum, Chief Operating Officer of GAStech claimed Mr. Strum was unavailable. Linda Lagos the assistant to Mr. Strum declined to answer any further questions about the incident, whether or not there was a fire, a false alarm, a bomb threat, or whether or not anyone is missing.

Uneasy throughout the call, Ms. Lagos repeated that Orhan Strum was unavailable at this time, said good bye and hung up. Additional calls were placed with no answer on the GAStech end of the line.",,The Abila Post,,,
03/12/2009 0:00:00,,Activist Leader Karel Arrested for Tax Evasion,,"ABILA, Kronos - Kronos police arrested Elian Karel today on charges of tax evasion.  Karel's lawyer, Michale Kraft, released a statement declaring that the charges against his client were false and that he hoped to have Karel released from police custody by week's end.",,News Online Today,,,
01/20/2014 0:00:00,,ON SCENE BLOG,,"1853 MODERNIZATION - speculation that the arrival of PM of 2:00 of the civil employee of government of Kronos was in effects the arrival of one executive greater emergency and other civil employees from the office of Tethys of the comprised GAStech the president and the CEO Sten Sanjorge, Jr.

This speculation is based on the information with regard to the arrival, to the refueling of fuel and the immediate departure of the classified jet of the Jr. of Sanjorge from the airport of Tethys.",,Modern Rubicon,,,
01/20/2014 0:00:00,,To break off itself: The emergency to GAStech quarters the construction [modernizations],,"Modernization, 10:20:  It employs you of GAStech evacuate the sheets of the helicopter and the construction from the roof of the construction.",,Tethys News,,,
06/21/2009 0:00:00,,LEADERSHIP CHANGE FOR POK,,"ABILA, Kronos – Following the unexpected death of Elian Karel, Silvia Marek has taken over the leadership role of the Protectors of Kronos. Elian Karel died while in police custody on 19 June.",,News Online Today,,,
03/14/2009 0:00:00,,CHIEF KAREL OF STOPPED POK,,"ABILA, Kronos - in another unjust movement against the citizens of Kronos, a police force earlier of today stopped the Chief of POK Elian Karel on incidental expense of tax avoidance.  It was carried out - manacled - starting from a meeting of the guards of Kronos in Elodis, rural black suburbs external Abila.

Showing its mood of trade mark, Karel raised its wrists and joked with its defenders as it is carried out far, ""I guess that I should not have sent to the president these cases water bottled for his birthday.""",,The Orb,,,
10/11/1995 0:00:00,,OPENING LARGE GASTECH-KRONOS,,"ABILA, Kronos - with its flash of trade mark, Sten Sanjorge, president de Jr. of international GAStech opened the new registered offices of GAStech-Kronos. The ribbon was cut with enormous scissors, matched in the face only by smiling of Sanjorge Jr. 'S.

50 million price ticket in dollars for the new registered offices is right a fall in the bucket for GAStech. The gas layer in the production apart from Abila exceeded even the oversize hopes of Sanjorge, paying the building several times.",,The Light of Truth,,,
02/21/2012 0:00:00,,Oil and the gas the industry has warned of Kronos it for its most formidable challenge in 20 years because of the low levels of exploration stands.,,"The energy civil servants of the government said previous year to only 15 wells were bored.

That was in spite of strong levels of investment, which a report reaches previous year and supported this year.",,The Continent,,,
01/20/2014 0:00:00,,ON THE SCENE BLOG,,"1035 UPDATE - The Abila Fire Department arrived on the scene roughly 10 minutes ago and began searching the building. No smoke is visible, raising concerns of an actual bomb threat.",,The Abila Post,,,
03/24/2001 0:00:00,,"The MEASUREMENT Of TAXES DEMOLISHED, EFFORTS OF FIXED POK A",,"Abila, Kronos - a measurement to increase taxes on the foreign development of oil and gas proposed by Minister of health Cesare Nespola was demolished by a broad margin last week in the General meeting.

This defeat is a hard blow with the guards of Kronos, a group of Elodis which counted on this placing to provide the cleaning of care of health and environment of their water of drinks and irrigation.",,The Orb,,,
09/03/2013 0:00:00,,SANJORGE JR. TAKING GASTECH INTERNATIONAL PUBLIC,,"CENTRUM, Tethys - After 52 years of being privately owned, Sten Sanjorge, Jr.

The company, founded in 1961 by Sten Sanjorge, Sr., said Monday it plans a stock offering that could place its value in the neighborhood of $3.75 billion.",,News Online Today,,,
01/21/2014 0:00:00,,Kidnapped employees of GASTech in Kronos,,"Fourteen employees feared kidnapped in Kronos for radical an environmental group of the terrorist during a corporative meeting.

They fear fourteen employees, including possibly to five executive officials, kidnapped yesterday by the ""protectors of Kronos"".  The disclosed disappear include: President and CEO Sten Sanjorge Jr, CFO Ingrid Precipice, Field-Corrente of Ada of I BACK WATER, rasgueo of Orhan de GAStech of the COO, and environmental official Willem Basoue-Country.",,Everyday News,,,
01/20/2014 0:00:00,,POK Kidnaps GAStech Employees,,"ABILA, Kronos - The Protectors of Kronos (POK) are suspected of kidnapping up to fourteen GAStech employees from their headquarters building earlier today.  Abila police quickly secured the building and interviewed the remaining GAStech employees.  One employee, Edvard Vann of Abila, was questioned for hours because he shares a family name with several known POK members.  Vann denied involvement with the POK and claimed to have no knowledge of the kidnapping.  The POK has made no statements regarding the kidnapping.

GAStech sent officials from its home office in Centrum, Tethys to help police handle the incident.  Tethyn federal law enforcement and representatives from the Tethyn Ministry of Foreign affairs flew to Kronos and were escorted to Abila police headquarters.",,Kronos Star,,,
01/20/2014 0:00:00,,Breaking: Emergency at GAStech Headquarters Building [Updates],,"Update, 1:35 PM:  We called the office of Ingrid Barranco, the GSAtech Chief Financial Officer.  Her administrator, who was very uneasy during the conversation, informed us that Ms. Barranco is unavailable for comment.",,Kronos Star,,,
01/21/2014 0:00:00,,Sanjorge of GAStech escape which kidnap GAStech at HK,,"ABILA, Kronos - according to a press conference which in hoofdkwartier GAStech in center, Tethys vanochtend, the President of have GAStech and CEO, returned Jr. of Sten Sanjorge to Tethys after communicated kidnapping event safe the hoofdkwartier that of its company Abila yesterday build in.  Sanjorge, which had attended a collective meeting, were in passage of construction GAStech to capitol then removal took place.

Sanjorge and the four staff employees of the local hoofdkwartier GAStech had a reception which to attend is received by president Kapelou at the bldg. Capitol.  The reception was loved to celebrate the company and our country the 20th year cooperation between.",,The Truth,,,
09/25/2005 0:00:00,,THE TURN OF PROTESTS ELODIS TO BABBLE AND ARRESTS,,"ELODIS, Kronos - the guards of Kronos (POK) continue protest the government Kronos and, water pollution and a lack of a government response against international claiming GAStech pollution. Recently the protests have violent increasing in herrie kick mainly conducted at the place changed of bending Tiskele.

The most recent event protesters POK involved form a human collar to block van GAStech the entrance of the place of the bending of Tiskele. After the recent herrie kick, the government civil servants no choice, but were make protesters omhoog round and them to arrest for violating.",,News Desk,,,
03/23/2001 0:00:00,,"THE DEFEATED MEASUREMENT, EFFORTS OF THE TAX OF POK WAS CLOGGED",,"Abila, Kronos - a measurement to increase taxes on the foreign development of the oil and the gas proposed in Minister of the health Will stop Nespola was defeated by a wide margin the week last in the General Assembly.

This defeat is a rough blowing to the protectors of Kronos, group of Elodis that counted in that it financed to provide cleaning of healthcare and of the atmosphere of its water drinking and of the irrigation.",,Daily Pegasus,,,
01/20/2014 0:00:00,,"EMPLOYEE OF QUESTIONED GASTECH, RELEASED",,"ABILA, Kronos - during roughly 6 hours employed Edvard Vann de GAStech - of Kronos was questioned by Kronos Police and civils servant of government before being released with 17:00 this evening. Apparent confusion comes from the similarity between its name and that from a guard from member from Kronos.

Vann, a guard of safety for GAStech, was furious, stating, ""I do not have anything to make some with any member of group POK of terrorist. I do not know anybody of Elodis. I was born here in Abila and I support my government and my president. Is being marked and being questioned during 6 hours as a member of terrorist POK one of the worst days of my life. Just because a person has the same name as a criminal does not make him with a criminal.""",,Athena Speaks,,,
11/10/1998 0:00:00,,Ministry of Health Investigates Contamination Complaints,,"ABILA, Kronos - Minister of Health Cesare Nespola announced today that his organization would be investigating claims of abnormal health issues in areas surrounding the Tiskele Bend drill site.  However, I believe it is important as Minister of Health to do due diligence and investigate the reports of sickness near the Elodis township.",,News Online Today,,,
07/07/1999 0:00:00,,MINISTER OF HEALTH TO PROPOSE SOLUTION TO TOWN POISONING,,"ABILA, Kronos - Prime Minister of Health Cesare Nespola announced he would sponsor a bill to increase taxes on foreign energy development in Kronos intended to fund environmental cleanup and improved healthcare for rural towns.  Following a series of meetings with members of the activist group Protectors of Kronos (POK) the announcement was made last week.

""Our path forward is clear,"" POK co-leader Carmine Osvaldo told the Homeland Illumination.  ""We fight for clean water, good health and now we will have the funds to make this happen.  Thanks to Minister Nespola no more children will have to die.""",,Homeland Illumination,,,
01/20/2014 0:00:00,,KIDNAPPING AT GASTECH KRONOS,,"ABILA, Kronos - After a long day of conflicting and confusing information reports are still sketchy, but the story is beginning to come clear: a Kronos Government source has confirmed up to fourteen of GAStech International's employees may have been kidnapped at the company's headquarters in Abila. Speculation includes whether or not GAStech International President and CEO Sten Sanjorge Jr. was the target given that GAStech International has yet to make a statement to the press. Speculation about the motivation behind the kidnapping has also been rampant due to the recent GAStech IPO. Edvard Vann, a GAStech - Kronos security guard who was interrogated and released after 6 hours, indicated the Protectors of Kronos were suspected as being the perpetrators behind today's events.

A GAStech International senior security executive has been on site to support the investigation, aiding the Abila Police Department and Kronos Government officials. At some point while company officers were transitioning from the main office to a Kronos Government reception the abductions took place. Abila Fire Department trucks were dispatched to GAStech - Kronos headquarters around 10:00 this morning local Kronos time to respond to a fire alarm.",,Who What News,,,
